,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
9415,HD6_S17_L004_contig_969,Unassigned,Unassigned,Unassigned,1420_0,Clustered,13,VC_1420_0,13,0.4177,1.0,0.4177,1,1,1,0.9487
9416,HD6_S17_L004_contig_974,Unassigned,Unassigned,Unassigned,396_0,Clustered,5,VC_396_0,5,0.2921,0.99999738,0.2921,1,1,1,1.0
9417,HD6_S17_L004_contig_976,Unassigned,Unassigned,Unassigned,1844_0,Clustered,2,VC_1844_0,2,0.2318,0.92263554,0.2138,1,1,1,1.0
9418,HD6_S17_L004_contig_986,Unassigned,Unassigned,Unassigned,1312_1,Clustered,24,VC_1312_1,24,0.5545,1.0,0.5545,1,1,1,0.7428
9419,HD6_S17_L004_contig_992,Unassigned,Unassigned,Unassigned,503_0,Clustered,2,VC_503_0,2,0.1967,0.95433162,0.1877,1,1,1,1.0
9420,HD6_S17_L004_contig_999,Unassigned,Unassigned,Unassigned,3216_0,Clustered,4,VC_3216_0,4,0.8867,0.99829738,0.8852,1,1,1,0.8333
9421,HD7_S19_L004_contig_1024,Unassigned,Unassigned,Unassigned,3881_0,Clustered,2,VC_3881_0,2,1.0,1.0,1.0,1,1,1,1.0
9422,HD7_S19_L004_contig_1041,Unassigned,Unassigned,Unassigned,1770_0,Clustered/Singleton,1,VC_1770_0,1,0.0,1.0,0.0,1,1,1,1.0
9423,HD7_S19_L004_contig_1079,Unassigned,Unassigned,Unassigned,326_0,Clustered,3,VC_326_0,3,0.3248,0.94678125,0.3075,1,1,1,1.0
9424,HD7_S19_L004_contig_109,Unassigned,Unassigned,Unassigned,3844_0,Clustered,2,VC_3844_0,2,0.5088,0.86174976,0.4384,1,1,1,1.0
9425,HD7_S19_L004_contig_1115,Unassigned,Unassigned,Unassigned,2866_0,Clustered,2,VC_2866_0,2,0.5384,0.92263554,0.4968,1,1,1,1.0
9426,HD7_S19_L004_contig_1126,Unassigned,Unassigned,Unassigned,2912_0,Clustered,2,VC_2912_0,2,0.3831,0.94071428,0.3604,1,1,1,1.0
9427,HD7_S19_L004_contig_1128,Unassigned,Unassigned,Unassigned,1447_0,Clustered,2,VC_1447_0,2,1.0,1.0,1.0,1,1,1,1.0
9428,HD7_S19_L004_contig_1134,Unassigned,Unassigned,Unassigned,2091_0,Clustered,16,VC_2091_0,16,0.5538,1.0,0.5538,1,1,1,1.0
9429,HD7_S19_L004_contig_1143,Unassigned,Unassigned,Unassigned,1202_0,Clustered,2,VC_1202_0,2,0.53,0.92921057,0.4924,1,1,1,1.0
9430,HD7_S19_L004_contig_1185,Unassigned,Unassigned,Unassigned,2864_0,Clustered,4,VC_2864_0,4,0.4109,0.99975484,0.4108,1,1,1,1.0
9431,HD7_S19_L004_contig_1194,Unassigned,Unassigned,Unassigned,2530_0,Clustered,5,VC_2530_0,5,0.6259,0.99999826,0.6259,1,1,1,0.7
9432,HD7_S19_L004_contig_1197,Unassigned,Unassigned,Unassigned,3480_0,Clustered,2,VC_3480_0,2,0.5669,0.81445332,0.4617,1,1,1,1.0
9433,HD7_S19_L004_contig_1215,Unassigned,Unassigned,Unassigned,1411_0,Clustered,12,VC_1411_0,12,0.6295,1.0,0.6295,1,1,1,0.8939
9434,HD7_S19_L004_contig_1218,Unassigned,Unassigned,Unassigned,2474_0,Clustered,3,VC_2474_0,3,0.9118,0.81445332,0.7426,1,1,1,1.0
9435,HD7_S19_L004_contig_1229,Unassigned,Unassigned,Unassigned,346_0,Clustered/Singleton,1,VC_346_0,1,0.0,1.0,0.0,1,1,1,1.0
9436,HD7_S19_L004_contig_1261,Unassigned,Unassigned,Unassigned,2255_0,Clustered,13,VC_2255_0,13,0.65,1.0,0.65,1,1,1,0.9359
9437,HD7_S19_L004_contig_129,Unassigned,Unassigned,Unassigned,999_0,Clustered,2,VC_999_0,2,0.6643,0.72985431,0.4849,1,1,1,1.0
9438,HD7_S19_L004_contig_1291,Unassigned,Unassigned,Unassigned,2095_0,Clustered,3,VC_2095_0,3,1.0,1.0,1.0,1,1,1,1.0
9439,HD7_S19_L004_contig_1299,Unassigned,Unassigned,Unassigned,2118_0,Clustered,2,VC_2118_0,2,0.0,1.0,0.0,1,1,1,1.0
9440,HD7_S19_L004_contig_1311,Unassigned,Unassigned,Unassigned,1488_0,Clustered,2,VC_1488_0,2,0.0594,0.95249915,0.0566,1,1,1,1.0
9441,HD7_S19_L004_contig_1316,Unassigned,Unassigned,Unassigned,1784_0,Clustered,2,VC_1784_0,2,0.1376,0.95156715,0.1309,1,1,1,0.0
9442,HD7_S19_L004_contig_1336,Unassigned,Unassigned,Unassigned,1169_0,Clustered,2,VC_1169_0,2,0.0,1.0,0.0,1,1,1,1.0
9443,HD7_S19_L004_contig_141,Unassigned,Unassigned,Unassigned,440_0,Clustered,7,VC_440_0,7,0.4122,1.0,0.4122,1,1,1,1.0
9444,HD7_S19_L004_contig_142,Unassigned,Unassigned,Unassigned,1707_1,Clustered,18,VC_1707_1,18,0.3892,1.0,0.3892,1,1,1,0.8562
9445,HD7_S19_L004_contig_1441,Unassigned,Unassigned,Unassigned,2144_0,Clustered,3,VC_2144_0,3,0.7605,0.98867275,0.7519,1,1,1,1.0
9446,HD7_S19_L004_contig_1482,Unassigned,Unassigned,Unassigned,470_0,Clustered,10,VC_470_0,10,0.87,1.0,0.87,1,1,1,1.0
9447,HD7_S19_L004_contig_1534,Unassigned,Unassigned,Unassigned,3749_0,Clustered,2,VC_3749_0,2,0.8271,0.5,0.4136,1,1,1,1.0
9448,HD7_S19_L004_contig_1547,Unassigned,Unassigned,Unassigned,367_3,Clustered,2,VC_367_3,2,0.0268,0.95671408,0.0257,1,1,1,1.0
9449,HD7_S19_L004_contig_1555,Unassigned,Unassigned,Unassigned,2027_0,Clustered,3,VC_2027_0,3,0.4571,0.9890368,0.4521,1,1,1,1.0
9450,HD7_S19_L004_contig_1561,Unassigned,Unassigned,Unassigned,2277_0,Clustered,6,VC_2277_0,6,0.4896,1.0,0.4896,1,1,1,1.0
9451,HD7_S19_L004_contig_1587,Unassigned,Unassigned,Unassigned,3548_0,Clustered,2,VC_3548_0,2,0.5557,0.72985431,0.4056,1,1,1,1.0
9452,HD7_S19_L004_contig_1611,Unassigned,Unassigned,Unassigned,3421_0,Clustered,3,VC_3421_0,3,0.7381,0.97408504,0.719,1,1,1,1.0
9453,HD7_S19_L004_contig_1623,Unassigned,Unassigned,Unassigned,2287_0,Clustered,8,VC_2287_0,8,0.6542,0.99999998,0.6542,1,1,1,1.0
9454,HD7_S19_L004_contig_1643,Unassigned,Unassigned,Unassigned,1974_0,Clustered,23,VC_1974_0,23,0.4343,1.0,0.4343,1,1,1,0.9684
9455,HD7_S19_L004_contig_1652,Unassigned,Unassigned,Unassigned,1278_0,Clustered,5,VC_1278_0,5,0.6515,0.99995145,0.6515,1,1,1,1.0
9456,HD7_S19_L004_contig_1673,Unassigned,Unassigned,Unassigned,1691_0,Clustered,15,VC_1691_0,15,0.8091,1.0,0.8091,1,1,1,0.9333
9457,HD7_S19_L004_contig_1701,Unassigned,Unassigned,Unassigned,1626_0,Clustered,38,VC_1626_0,38,0.77,1.0,0.77,1,1,1,1.0
9458,HD7_S19_L004_contig_1704,Unassigned,Unassigned,Unassigned,2326_0,Clustered,3,VC_2326_0,3,0.6271,0.99701153,0.6252,1,1,1,1.0
9459,HD7_S19_L004_contig_1710,Unassigned,Unassigned,Unassigned,437_0,Clustered,20,VC_437_0,20,0.512,1.0,0.512,1,1,1,0.9684
9460,HD7_S19_L004_contig_1771,Unassigned,Unassigned,Unassigned,2650_0,Clustered,2,VC_2650_0,2,0.372,0.5,0.186,1,1,1,1.0
9461,HD7_S19_L004_contig_179,Unassigned,Unassigned,Unassigned,2413_0,Clustered,14,VC_2413_0,14,0.7518,1.0,0.7518,1,1,1,1.0
9462,HD7_S19_L004_contig_1812,Unassigned,Unassigned,Unassigned,232_0,Clustered,23,VC_232_0,23,0.4841,1.0,0.4841,1,1,1,0.8577
9463,HD7_S19_L004_contig_1828,Unassigned,Unassigned,Unassigned,1780_0,Clustered,6,VC_1780_0,6,0.0833,0.92962622,0.0775,2,2,2,1.0
9464,HD7_S19_L004_contig_185,Unassigned,Unassigned,Unassigned,3757_0,Clustered,3,VC_3757_0,3,0.9709,0.81445332,0.7907,1,1,1,1.0
9465,HD7_S19_L004_contig_1870,Unassigned,Unassigned,Unassigned,325_0,Clustered,6,VC_325_0,6,0.272,0.99999999,0.272,1,2,2,1.0
9466,HD7_S19_L004_contig_1919,Unassigned,Unassigned,Unassigned,916_0,Clustered,26,VC_916_0,26,0.5275,1.0,0.5275,1,1,1,0.9354
9467,HD7_S19_L004_contig_1944,Unassigned,Unassigned,Unassigned,1966_0,Clustered,3,VC_1966_0,3,0.758,0.98155579,0.7441,1,1,1,1.0
9468,HD7_S19_L004_contig_1953,Unassigned,Unassigned,Unassigned,238_0,Clustered,15,VC_238_0,15,0.3675,1.0,0.3675,1,1,1,1.0
9469,HD7_S19_L004_contig_1961,Unassigned,Unassigned,Unassigned,2717_0,Clustered,3,VC_2717_0,3,0.9855,0.81445332,0.8027,1,1,1,1.0
9470,HD7_S19_L004_contig_1963,Unassigned,Unassigned,Unassigned,3475_0,Clustered,2,VC_3475_0,2,0.9269,0.72985431,0.6765,1,1,1,1.0
9471,HD7_S19_L004_contig_20,Unassigned,Unassigned,Unassigned,2456_0,Clustered,2,VC_2456_0,2,0.9274,0.5,0.4637,1,1,1,1.0
9472,HD7_S19_L004_contig_2005,Unassigned,Unassigned,Unassigned,3681_0,Clustered,2,VC_3681_0,2,0.4027,0.87921671,0.354,1,1,1,1.0
9473,HD7_S19_L004_contig_2019,Unassigned,Unassigned,Unassigned,718_0,Clustered,2,VC_718_0,2,0.4094,0.94166128,0.3855,1,1,1,1.0
9474,HD7_S19_L004_contig_2041,Unassigned,Unassigned,Unassigned,2436_0,Clustered,4,VC_2436_0,4,0.5726,0.99971993,0.5724,1,1,1,1.0
9475,HD7_S19_L004_contig_2080,Unassigned,Unassigned,Unassigned,1628_0,Clustered,32,VC_1628_0,32,0.5382,1.0,0.5382,1,1,1,0.994
9476,HD7_S19_L004_contig_2105,Unassigned,Unassigned,Unassigned,1829_0,Clustered,6,VC_1829_0,6,0.2921,0.88315913,0.258,1,1,1,1.0
9477,HD7_S19_L004_contig_2128,Unassigned,Unassigned,Unassigned,2206_0,Clustered,7,VC_2206_0,7,0.814,0.99999732,0.814,1,1,1,1.0
9478,HD7_S19_L004_contig_2138,Unassigned,Unassigned,Unassigned,1919_5,Clustered/Singleton,1,VC_1919_5,1,0.0,1.0,0.0,1,1,1,1.0
9479,HD7_S19_L004_contig_2157,Unassigned,Unassigned,Unassigned,1848_0,Clustered,2,VC_1848_0,2,0.1933,0.66873971,0.1293,1,1,1,1.0
9480,HD7_S19_L004_contig_2217,Unassigned,Unassigned,Unassigned,425_0,Clustered,4,VC_425_0,4,0.9722,0.95931944,0.9326,1,1,1,1.0
9481,HD7_S19_L004_contig_2218,Unassigned,Unassigned,Unassigned,1240_0,Clustered,4,VC_1240_0,4,0.7597,0.99955772,0.7593,1,1,1,1.0
9482,HD7_S19_L004_contig_2238,Unassigned,Unassigned,Unassigned,1708_0,Clustered,8,VC_1708_0,8,0.4535,0.99999997,0.4535,1,1,1,1.0
9483,HD7_S19_L004_contig_2248,Unassigned,Unassigned,Unassigned,2337_0,Clustered,2,VC_2337_0,2,0.2546,0.94482326,0.2406,1,1,1,1.0
9484,HD7_S19_L004_contig_225,Unassigned,Unassigned,Unassigned,1897_0,Clustered,7,VC_1897_0,7,0.7318,0.99996116,0.7318,1,1,1,1.0
9485,HD7_S19_L004_contig_226,Unassigned,Unassigned,Unassigned,185_0,Clustered,10,VC_185_0,10,0.6772,1.0,0.6772,1,1,1,0.8889
9486,HD7_S19_L004_contig_2333,Unassigned,Unassigned,Unassigned,3117_0,Clustered,2,VC_3117_0,2,0.8875,0.72985431,0.6477,1,1,1,1.0
9487,HD7_S19_L004_contig_2359,Unassigned,Unassigned,Unassigned,525_0,Clustered,7,VC_525_0,7,0.412,1.0,0.412,1,1,1,0.7619
9488,HD7_S19_L004_contig_2378,Unassigned,Unassigned,Unassigned,2644_0,Clustered,2,VC_2644_0,2,0.8743,0.5,0.4371,1,1,1,1.0
9489,HD7_S19_L004_contig_24,Unassigned,Unassigned,Unassigned,1688_0,Clustered,5,VC_1688_0,5,0.49,0.99984603,0.4899,1,1,1,1.0
9490,HD7_S19_L004_contig_2402,Unassigned,Unassigned,Unassigned,304_0,Clustered/Singleton,1,VC_304_0,1,0.0,1.0,0.0,1,1,1,1.0
9491,HD7_S19_L004_contig_2410,Unassigned,Unassigned,Unassigned,1707_1,Clustered,18,VC_1707_1,18,0.3892,1.0,0.3892,1,1,1,0.8562
9492,HD7_S19_L004_contig_2416,Unassigned,Unassigned,Unassigned,349_0,Clustered,2,VC_349_0,2,0.0,1.0,0.0,1,1,1,1.0
9493,HD7_S19_L004_contig_2420,Unassigned,Unassigned,Unassigned,3234_0,Clustered,2,VC_3234_0,2,0.1136,0.56281647,0.0639,1,1,1,1.0
9494,HD7_S19_L004_contig_244,Unassigned,Unassigned,Unassigned,1934_0,Clustered,2,VC_1934_0,2,0.4153,0.91237788,0.379,1,1,1,1.0
9495,HD7_S19_L004_contig_2446,Unassigned,Unassigned,Unassigned,1919_1,Clustered,11,VC_1919_1,11,0.2617,1.0,0.2617,1,1,1,0.8182
9496,HD7_S19_L004_contig_2538,Unassigned,Unassigned,Unassigned,2311_0,Clustered,2,VC_2311_0,2,0.154,0.92921057,0.1431,1,1,1,1.0
9497,HD7_S19_L004_contig_2555,Unassigned,Unassigned,Unassigned,2374_0,Clustered,2,VC_2374_0,2,0.9517,0.85557782,0.8143,1,1,1,1.0
9498,HD7_S19_L004_contig_2575,Unassigned,Unassigned,Unassigned,409_4,Clustered/Singleton,1,VC_409_4,1,0.0,1.0,0.0,1,1,1,1.0
9499,HD7_S19_L004_contig_258,Unassigned,Unassigned,Unassigned,1567_0,Clustered,4,VC_1567_0,4,0.8115,0.99919566,0.8109,1,1,1,1.0
9500,HD7_S19_L004_contig_2598,Unassigned,Unassigned,Unassigned,1450_0,Clustered,7,VC_1450_0,7,0.562,1.0,0.562,1,1,1,1.0
9501,HD7_S19_L004_contig_26,Unassigned,Unassigned,Unassigned,2265_0,Clustered,3,VC_2265_0,3,0.5583,0.81692172,0.4561,1,1,1,1.0
9502,HD7_S19_L004_contig_2653,Unassigned,Unassigned,Unassigned,184_0,Clustered,4,VC_184_0,4,0.56,0.99996559,0.5599,1,1,1,1.0
9503,HD7_S19_L004_contig_2661,Unassigned,Unassigned,Unassigned,1712_0,Clustered,3,VC_1712_0,3,0.9345,0.92554266,0.8649,1,1,1,1.0
9504,HD7_S19_L004_contig_2666,Unassigned,Unassigned,Unassigned,1818_0,Clustered,2,VC_1818_0,2,0.1763,0.94865957,0.1673,1,1,1,1.0
9505,HD7_S19_L004_contig_2668,Unassigned,Unassigned,Unassigned,2835_0,Clustered,3,VC_2835_0,3,0.6504,0.98155579,0.6384,1,1,1,1.0
9506,HD7_S19_L004_contig_2672,Unassigned,Unassigned,Unassigned,2953_0,Clustered,2,VC_2953_0,2,0.1444,0.88576917,0.1279,1,1,1,1.0
9507,HD7_S19_L004_contig_2677,Unassigned,Unassigned,Unassigned,1927_0,Clustered,2,VC_1927_0,2,0.6698,0.72985431,0.4888,1,1,1,1.0
9508,HD7_S19_L004_contig_2680,Unassigned,Unassigned,Unassigned,2261_0,Clustered,2,VC_2261_0,2,0.2813,0.93376822,0.2627,1,1,1,1.0
9509,HD7_S19_L004_contig_2696,Unassigned,Unassigned,Unassigned,2132_0,Clustered,2,VC_2132_0,2,1.0,1.0,1.0,1,1,1,1.0
9510,HD7_S19_L004_contig_2724,Unassigned,Unassigned,Unassigned,1485_0,Clustered,19,VC_1485_0,19,0.4731,1.0,0.4731,1,1,1,1.0
9511,HD7_S19_L004_contig_2756,Unassigned,Unassigned,Unassigned,1536_0,Clustered,2,VC_1536_0,2,0.1829,0.9462552,0.1731,1,1,1,1.0
9512,HD7_S19_L004_contig_2775,Unassigned,Unassigned,Unassigned,138_0,Clustered,3,VC_138_0,3,0.112,0.96649042,0.1082,1,1,1,1.0
9513,HD7_S19_L004_contig_2807,Unassigned,Unassigned,Unassigned,1130_0,Clustered,2,VC_1130_0,2,0.0885,0.94614993,0.0837,1,1,1,1.0
9514,HD7_S19_L004_contig_2808,Unassigned,Unassigned,Unassigned,3097_0,Clustered,3,VC_3097_0,3,1.0,1.0,1.0,1,1,1,1.0
9515,HD7_S19_L004_contig_2809,Unassigned,Unassigned,Unassigned,3386_0,Clustered,2,VC_3386_0,2,1.0,1.0,1.0,1,1,1,1.0
9516,HD7_S19_L004_contig_2829,Unassigned,Unassigned,Unassigned,1708_0,Clustered,8,VC_1708_0,8,0.4535,0.99999997,0.4535,1,1,1,1.0
9517,HD7_S19_L004_contig_2866,Unassigned,Unassigned,Unassigned,2258_0,Clustered,3,VC_2258_0,3,0.2402,0.99811613,0.2397,1,1,1,1.0
9518,HD7_S19_L004_contig_2904,Unassigned,Unassigned,Unassigned,620_0,Clustered,6,VC_620_0,6,0.2332,0.99999621,0.2332,1,1,1,0.8667
9519,HD7_S19_L004_contig_2907,Unassigned,Unassigned,Unassigned,2436_0,Clustered,4,VC_2436_0,4,0.5726,0.99971993,0.5724,1,1,1,1.0
9520,HD7_S19_L004_contig_2937,Unassigned,Unassigned,Unassigned,1705_0,Clustered,2,VC_1705_0,2,0.5863,0.85557782,0.5016,1,1,1,1.0
9521,HD7_S19_L004_contig_2940,Unassigned,Unassigned,Unassigned,2465_0,Clustered,2,VC_2465_0,2,0.7524,0.72985431,0.5492,1,1,1,1.0
9522,HD7_S19_L004_contig_2960,Unassigned,Unassigned,Unassigned,2385_0,Clustered,5,VC_2385_0,5,0.2499,0.99999988,0.2499,1,1,1,1.0
9523,HD7_S19_L004_contig_2976,Unassigned,Unassigned,Unassigned,116_0,Clustered,3,VC_116_0,3,0.7618,0.97408504,0.7421,1,2,2,1.0
9524,HD7_S19_L004_contig_2980,Unassigned,Unassigned,Unassigned,2019_0,Clustered,6,VC_2019_0,6,0.5485,0.9999996,0.5485,1,1,1,1.0
9525,HD7_S19_L004_contig_2991,Unassigned,Unassigned,Unassigned,2955_0,Clustered,4,VC_2955_0,4,0.6692,0.99960894,0.6689,1,1,1,1.0
9526,HD7_S19_L004_contig_300,Unassigned,Unassigned,Unassigned,3417_0,Clustered,2,VC_3417_0,2,0.4086,0.81445332,0.3328,1,1,1,1.0
9527,HD7_S19_L004_contig_3013,Unassigned,Unassigned,Unassigned,2410_0,Clustered,3,VC_2410_0,3,0.1489,0.98788465,0.1471,1,1,1,1.0
9528,HD7_S19_L004_contig_3029,Unassigned,Unassigned,Unassigned,3472_0,Clustered,3,VC_3472_0,3,1.0,1.0,1.0,1,1,1,1.0
9529,HD7_S19_L004_contig_3059,Unassigned,Unassigned,Unassigned,927_0,Clustered,7,VC_927_0,7,0.1476,1.0,0.1476,1,1,1,0.9048
9530,HD7_S19_L004_contig_3090,Unassigned,Unassigned,Unassigned,2408_0,Clustered,17,VC_2408_0,17,0.5895,1.0,0.5895,1,1,1,1.0
9531,HD7_S19_L004_contig_3162,Unassigned,Unassigned,Unassigned,2533_0,Clustered,4,VC_2533_0,4,0.5965,0.99976762,0.5964,1,1,1,1.0
9532,HD7_S19_L004_contig_3235,Unassigned,Unassigned,Unassigned,966_0,Clustered,50,VC_966_0,50,0.5563,1.0,0.5563,1,1,1,1.0
9533,HD7_S19_L004_contig_3238,Unassigned,Unassigned,Unassigned,2789_0,Clustered,3,VC_2789_0,3,0.9711,0.72985431,0.7087,1,1,1,1.0
9534,HD7_S19_L004_contig_3244,Unassigned,Unassigned,Unassigned,185_0,Clustered,10,VC_185_0,10,0.6772,1.0,0.6772,1,1,1,0.8889
9535,HD7_S19_L004_contig_3245,Unassigned,Unassigned,Unassigned,190_0,Clustered,10,VC_190_0,10,0.6168,1.0,0.6168,1,1,1,0.8667
9536,HD7_S19_L004_contig_3255,Unassigned,Unassigned,Unassigned,2248_0,Clustered,7,VC_2248_0,7,0.8779,0.999991,0.8778,1,1,1,1.0
9537,HD7_S19_L004_contig_3283,Unassigned,Unassigned,Unassigned,435_0,Clustered,12,VC_435_0,12,0.8375,1.0,0.8375,1,1,1,0.9848
9538,HD7_S19_L004_contig_3307,Unassigned,Unassigned,Unassigned,2656_0,Clustered,2,VC_2656_0,2,0.5124,0.5,0.2562,1,1,1,1.0
9539,HD7_S19_L004_contig_3308,Unassigned,Unassigned,Unassigned,985_0,Clustered,11,VC_985_0,11,0.6431,1.0,0.6431,1,1,1,0.9636
9540,HD7_S19_L004_contig_3321,Unassigned,Unassigned,Unassigned,2730_0,Clustered,12,VC_2730_0,12,0.7958,1.0,0.7958,1,1,1,1.0
9541,HD7_S19_L004_contig_3327,Unassigned,Unassigned,Unassigned,1233_0,Clustered,5,VC_1233_0,5,0.6471,0.9999998,0.6471,1,1,1,1.0
9542,HD7_S19_L004_contig_3345,Unassigned,Unassigned,Unassigned,1467_0,Clustered,5,VC_1467_0,5,0.7455,0.99800471,0.744,1,1,1,0.9
9543,HD7_S19_L004_contig_3400,Unassigned,Unassigned,Unassigned,130_0,Clustered,3,VC_130_0,3,0.1981,0.9950907,0.1971,1,2,2,1.0
9544,HD7_S19_L004_contig_3412,Unassigned,Unassigned,Unassigned,2810_0,Clustered,3,VC_2810_0,3,0.4462,0.99449438,0.4437,1,1,1,1.0
9545,HD7_S19_L004_contig_3413,Unassigned,Unassigned,Unassigned,1627_0,Clustered,21,VC_1627_0,21,0.551,1.0,0.551,1,1,1,1.0
9546,HD7_S19_L004_contig_35,Unassigned,Unassigned,Unassigned,685_0,Clustered,6,VC_685_0,6,0.8158,0.99999999,0.8158,1,1,1,1.0
9547,HD7_S19_L004_contig_350,Unassigned,Unassigned,Unassigned,1854_0,Clustered,29,VC_1854_0,29,0.6327,1.0,0.6327,1,1,1,0.9212
9548,HD7_S19_L004_contig_3521,Unassigned,Unassigned,Unassigned,3623_0,Clustered,6,VC_3623_0,6,0.8787,0.99944247,0.8782,1,1,1,1.0
9549,HD7_S19_L004_contig_3540,Unassigned,Unassigned,Unassigned,1661_0,Clustered,8,VC_1661_0,8,0.8099,0.99999999,0.8099,1,1,1,1.0
9550,HD7_S19_L004_contig_3543,Unassigned,Unassigned,Unassigned,1537_0,Clustered,5,VC_1537_0,5,0.4158,0.99999921,0.4158,1,1,1,1.0
9551,HD7_S19_L004_contig_3571,Unassigned,Unassigned,Unassigned,2030_0,Clustered,10,VC_2030_0,10,0.4944,1.0,0.4944,1,1,1,1.0
9552,HD7_S19_L004_contig_3575,Unassigned,Unassigned,Unassigned,1716_0,Clustered,9,VC_1716_0,9,0.3254,0.99952981,0.3252,1,1,1,0.9167
9553,HD7_S19_L004_contig_3639,Unassigned,Unassigned,Unassigned,1638_0,Clustered,6,VC_1638_0,6,0.2553,1.0,0.2553,1,1,1,1.0
9554,HD7_S19_L004_contig_3642,Unassigned,Unassigned,Unassigned,219_0,Clustered,14,VC_219_0,14,0.4079,1.0,0.4079,2,2,2,1.0
9555,HD7_S19_L004_contig_3706,Unassigned,Unassigned,Unassigned,1047_0,Clustered,16,VC_1047_0,16,0.7208,1.0,0.7208,1,1,1,1.0
9556,HD7_S19_L004_contig_3761,Unassigned,Unassigned,Unassigned,1653_0,Clustered,7,VC_1653_0,7,0.7034,1.0,0.7034,1,1,1,1.0
9557,HD7_S19_L004_contig_3808,Unassigned,Unassigned,Unassigned,3535_0,Clustered,2,VC_3535_0,2,0.9107,0.5,0.4554,1,1,1,1.0
9558,HD7_S19_L004_contig_3849,Unassigned,Unassigned,Unassigned,28_0,Clustered,26,VC_28_0,26,0.5755,1.0,0.5755,1,2,2,0.9908
9559,HD7_S19_L004_contig_3858,Unassigned,Unassigned,Unassigned,2635_0,Clustered,6,VC_2635_0,6,0.5972,0.99999999,0.5972,1,1,1,1.0
9560,HD7_S19_L004_contig_4,Unassigned,Unassigned,Unassigned,216_0,Clustered,7,VC_216_0,7,0.3981,0.9993478,0.3978,1,1,1,1.0
9561,HD7_S19_L004_contig_432,Unassigned,Unassigned,Unassigned,3273_0,Clustered,3,VC_3273_0,3,0.685,0.99542416,0.6819,1,1,1,1.0
9562,HD7_S19_L004_contig_44,Unassigned,Unassigned,Unassigned,771_0,Clustered,29,VC_771_0,29,0.4577,1.0,0.4577,1,1,1,0.9507
9563,HD7_S19_L004_contig_455,Unassigned,Unassigned,Unassigned,501_0,Clustered,6,VC_501_0,6,0.6956,0.99999986,0.6956,1,1,1,1.0
9564,HD7_S19_L004_contig_459,Unassigned,Unassigned,Unassigned,1014_0,Clustered,3,VC_1014_0,3,0.3631,0.95156246,0.3455,1,1,1,1.0
9565,HD7_S19_L004_contig_460,Unassigned,Unassigned,Unassigned,460_0,Clustered,40,VC_460_0,40,0.8034,1.0,0.8034,1,1,1,0.9603
9566,HD7_S19_L004_contig_511,Unassigned,Unassigned,Unassigned,1301_0,Clustered,17,VC_1301_0,17,0.5181,1.0,0.5181,1,1,1,0.9632
9567,HD7_S19_L004_contig_550,Unassigned,Unassigned,Unassigned,1812_0,Clustered,15,VC_1812_0,15,0.4847,1.0,0.4847,1,1,1,0.9143
9568,HD7_S19_L004_contig_588,Unassigned,Unassigned,Unassigned,603_0,Clustered,2,VC_603_0,2,0.1707,0.94988795,0.1622,1,1,1,1.0
9569,HD7_S19_L004_contig_594,Unassigned,Unassigned,Unassigned,2667_0,Clustered,2,VC_2667_0,2,0.5139,0.88261817,0.4536,1,1,1,1.0
9570,HD7_S19_L004_contig_613,Unassigned,Unassigned,Unassigned,3855_0,Clustered,2,VC_3855_0,2,0.9364,0.5,0.4682,1,1,1,1.0
9571,HD7_S19_L004_contig_654,Unassigned,Unassigned,Unassigned,1312_1,Clustered,24,VC_1312_1,24,0.5545,1.0,0.5545,1,1,1,0.7428
9572,HD7_S19_L004_contig_660,Unassigned,Unassigned,Unassigned,394_0,Clustered,11,VC_394_0,11,0.6732,1.0,0.6732,1,1,1,1.0
9573,HD7_S19_L004_contig_661,Unassigned,Unassigned,Unassigned,1028_0,Clustered,3,VC_1028_0,3,0.6939,0.98780488,0.6855,1,1,1,1.0
9574,HD7_S19_L004_contig_67,Unassigned,Unassigned,Unassigned,1106_2,Clustered/Singleton,1,VC_1106_2,1,0.0,1.0,0.0,1,1,1,1.0
9575,HD7_S19_L004_contig_672,Unassigned,Unassigned,Unassigned,1815_0,Clustered,3,VC_1815_0,3,0.7453,0.80676188,0.6013,1,1,1,1.0
9576,HD7_S19_L004_contig_752,Unassigned,Unassigned,Unassigned,238_0,Clustered,15,VC_238_0,15,0.3675,1.0,0.3675,1,1,1,1.0
9577,HD7_S19_L004_contig_790,Unassigned,Unassigned,Unassigned,2368_0,Clustered,2,VC_2368_0,2,0.0246,0.60930583,0.015,1,1,1,1.0
9578,HD7_S19_L004_contig_834,Unassigned,Unassigned,Unassigned,54_0,Clustered,28,VC_54_0,28,0.5928,1.0,0.5928,1,1,1,0.9947
9579,HD7_S19_L004_contig_858,Unassigned,Unassigned,Unassigned,1716_3,Clustered/Singleton,1,VC_1716_3,1,0.0,1.0,0.0,1,1,1,1.0
9580,HD7_S19_L004_contig_871,Unassigned,Unassigned,Unassigned,1480_0,Clustered,2,VC_1480_0,2,0.4662,0.93846104,0.4375,1,1,1,1.0
